序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0,,
2,A-1,1,,0,0,,
3,AAQS00-0010,2,,2,1.7,1,6
4,FAQJ00-3450,2,,2,2.9,1,
5,FDQJ00-2000,2,,2,2.1,1,
6,ABQJ00-0010,2,,2,3.8,1,
7,AJYY00-0010,2,,2,1.09,,
8,AJYY00-0030,2,AJYY00-0010,2,1.35,,
9,AJZY00-0020,2,,2,1.09,,
10,AJZY00-0040,2,AJZY00-0020,2,1.35,,
11,AJYY00-0050,2,,2,1.28,,
12,AJYY00-0070,2,AJYY00-0050,2,1.35,,
13,AJZY00-0060,2,,2,1.28,,
14,AJZY00-0080,2,AJZY00-0060,2,1.35,,
15,AJCP00-0090,2,,2,2.06,,
16,AJCP00-0100,2,,2,0.57,,
17,AJCP00-0130,2,AJCP00-0100,2,1.35,,
18,AJCP00-0110,2,,2,2.06,,
19,AJCP00-0120,2,,2,0.57,,
20,AJCP00-0140,2,"AJCP00-0110,AJCP00-0120",2,1.35,,
21,AJCP00-0150,2,,2,1.04,,
22,AJCP00-0160,2,AJCP00-0150,2,2.52,,
23,AJCP00-0170,2,AJCP00-0160,2,0.63,,
24,AJWB00-0180,2,AJWB00-0190,2,1.04,,
25,AJWB00-0190,2,,2,1.06,,
26,AJQJ00-0200,2,,2,1.18,,
27,AEQJ00-0010,2,,2,8.3,,
28,AEQJ00-0080,2,,2,50.1,,
29,AGQJ00-0010,2,,2,3.8,,
30,FJQJ00-0370,2,,2,1.03,,
31,ABHS00-2180,2,,2,1.8,,
32,A-2,1,A-1,0,0,,
33,AFQJ00-0100,2,,3,0.7,,
34,AFZG00-0110,2,,3,0.9,,
35,AFZG00-0120,2,,3,0.5,,
36,AFZG00-0130,2,,3,0.5,,
37,AFZG00-0140,2,,5,0.5,,
38,AFZG00-0150,2,,5,0.5,,
39,AFZG00-0160,2,,1,0.5,,
40,AFZG00-0170,2,,1,0.5,,
41,AKQS00-0020,2,,1,1.1,,6
42,AKZY00-0030,2,,1,1.5,,
43,AKCP00-0040,2,,1,1.4,,
44,AKYY00-0050,2,,1,1.5,,
45,AKCP00-0060,2,,1,1.4,,
46,AKCP00-0070,2,,1,1.6,,
47,AMYG00-0010,2,,1,0.7,,
48,AWWB00-0010,2,,2,0.8,,
49,AWWB00-0020,2,,1,0.8,,
50,AWWB00-0030,2,,1,0.8,,
51,AWWC00-0040,2,,1,0.8,,4
52,AWWB00-0050,2,,1,0.8,,
53,BWQS00-0090,2,,1,1,,6
54,AWWB00-1600,2,,1,0.5,,
55,FWQJ00-1960,2,,1,0.8,,
56,AYWB00-0040,2,,1,4.2,,
57,AYWB00-0050,2,,1,4.2,,
58,AYQQ00-0060,2,,2,6.2,,2
59,AYHS00-0070,2,,1,5.2,,
60,AYQQ00-0080,2,,1,5.7,,2
61,AYZQ00-0090,2,,1,5.7,,
62,AYWC00-1980,2,,3,4.6,,4
63,FYQJ00-1130,2,AYZQ00-0090,2,6.3,,
64,ACZY00-0010,2,,1,0.85,,
65,ACYY00-0020,2,,1,0.85,,
66,ACCP00-0030,2,,1,0.6,,
67,ACCP00-0040,2,,1,0.6,,
